iteration,method,composition,particle_size_nm,metal_loading_wt_pct,facet,calcination_temp_C,defect_density,activity,best_so_far
254,grid_search,Cu2O,90.0,0.1,110,600.0,medium,4.32,14.21
255,grid_search,Cu2O,90.0,0.1,110,600.0,high,5.99,14.21
256,grid_search,Cu2O,90.0,0.1,100,200.0,low,3.38,14.21
257,grid_search,Cu2O,90.0,0.1,100,200.0,medium,2.98,14.21
258,grid_search,Cu2O,90.0,0.1,100,200.0,high,7.96,14.21
259,grid_search,Cu2O,90.0,0.1,100,300.0,low,10.71,14.21
260,grid_search,Cu2O,90.0,0.1,100,300.0,medium,1.0,14.21
261,grid_search,Cu2O,90.0,0.1,100,300.0,high,5.74,14.21
262,grid_search,Cu2O,90.0,0.1,100,400.0,low,2.71,14.21
263,grid_search,Cu2O,90.0,0.1,100,400.0,medium,7.58,14.21
264,grid_search,Cu2O,90.0,0.1,100,400.0,high,10.2,14.21
265,grid_search,Cu2O,90.0,0.1,100,500.0,low,3.94,14.21
266,grid_search,Cu2O,90.0,0.1,100,500.0,medium,6.5,14.21
267,grid_search,Cu2O,90.0,0.1,100,500.0,high,3.07,14.21
268,grid_search,Cu2O,90.0,0.1,100,600.0,low,5.96,14.21
269,grid_search,Cu2O,90.0,0.1,100,600.0,medium,1.0,14.21
270,grid_search,Cu2O,90.0,0.1,100,600.0,high,1.0,14.21
271,grid_search,Cu2O,90.0,1.3250000000000002,111,200.0,low,4.83,14.21
272,grid_search,Cu2O,90.0,1.3250000000000002,111,200.0,medium,10.0,14.21
273,grid_search,Cu2O,90.0,1.3250000000000002,111,200.0,high,7.83,14.21
274,grid_search,Cu2O,90.0,1.3250000000000002,111,300.0,low,6.51,14.21
275,grid_search,Cu2O,90.0,1.3250000000000002,111,300.0,medium,9.73,14.21
276,grid_search,Cu2O,90.0,1.3250000000000002,111,300.0,high,8.7,14.21
277,grid_search,Cu2O,90.0,1.3250000000000002,111,400.0,low,7.65,14.21
278,grid_search,Cu2O,90.0,1.3250000000000002,111,400.0,medium,3.4,14.21
279,grid_search,Cu2O,90.0,1.3250000000000002,111,400.0,high,5.33,14.21
280,grid_search,Cu2O,90.0,1.3250000000000002,111,500.0,low,8.54,14.21
281,grid_search,Cu2O,90.0,1.3250000000000002,111,500.0,medium,3.6,14.21
282,grid_search,Cu2O,90.0,1.3250000000000002,111,500.0,high,5.83,14.21
283,grid_search,Cu2O,90.0,1.3250000000000002,111,600.0,low,4.2,14.21
284,grid_search,Cu2O,90.0,1.3250000000000002,111,600.0,medium,9.23,14.21
285,grid_search,Cu2O,90.0,1.3250000000000002,111,600.0,high,7.7,14.21
286,grid_search,Cu2O,90.0,1.3250000000000002,110,200.0,low,7.13,14.21
287,grid_search,Cu2O,90.0,1.3250000000000002,110,200.0,medium,8.45,14.21
288,grid_search,Cu2O,90.0,1.3250000000000002,110,200.0,high,2.27,14.21
289,grid_search,Cu2O,90.0,1.3250000000000002,110,300.0,low,5.0,14.21
290,grid_search,Cu2O,90.0,1.3250000000000002,110,300.0,medium,6.31,14.21
291,grid_search,Cu2O,90.0,1.3250000000000002,110,300.0,high,9.34,14.21
292,grid_search,Cu2O,90.0,1.3250000000000002,110,400.0,low,5.14,14.21
293,grid_search,Cu2O,90.0,1.3250000000000002,110,400.0,medium,5.76,14.21
294,grid_search,Cu2O,90.0,1.3250000000000002,110,400.0,high,2.74,14.21
295,grid_search,Cu2O,90.0,1.3250000000000002,110,500.0,low,1.72,14.21
296,grid_search,Cu2O,90.0,1.3250000000000002,110,500.0,medium,1.0,14.21
297,grid_search,Cu2O,90.0,1.3250000000000002,110,500.0,high,4.71,14.21
298,grid_search,Cu2O,90.0,1.3250000000000002,110,600.0,low,5.95,14.21
299,grid_search,Cu2O,90.0,1.3250000000000002,110,600.0,medium,1.24,14.21
300,grid_search,Cu2O,90.0,1.3250000000000002,110,600.0,high,1.0,14.21
301,grid_search,Cu2O,90.0,1.3250000000000002,100,200.0,low,1.0,14.21
302,grid_search,Cu2O,90.0,1.3250000000000002,100,200.0,medium,3.92,14.21
303,grid_search,Cu2O,90.0,1.3250000000000002,100,200.0,high,4.89,14.21
304,grid_search,Cu2O,90.0,1.3250000000000002,100,300.0,low,5.57,14.21
305,grid_search,Cu2O,90.0,1.3250000000000002,100,300.0,medium,1.33,14.21
306,grid_search,Cu2O,90.0,1.3250000000000002,100,300.0,high,5.5,14.21
307,grid_search,Cu2O,90.0,1.3250000000000002,100,400.0,low,4.36,14.21
308,grid_search,Cu2O,90.0,1.3250000000000002,100,400.0,medium,4.58,14.21
309,grid_search,Cu2O,90.0,1.3250000000000002,100,400.0,high,1.0,14.21
310,grid_search,Cu2O,90.0,1.3250000000000002,100,500.0,low,5.67,14.21
311,grid_search,Cu2O,90.0,1.3250000000000002,100,500.0,medium,10.06,14.21
312,grid_search,Cu2O,90.0,1.3250000000000002,100,500.0,high,6.74,14.21
313,grid_search,Cu2O,90.0,1.3250000000000002,100,600.0,low,1.45,14.21
314,grid_search,Cu2O,90.0,1.3250000000000002,100,600.0,medium,3.93,14.21
315,grid_search,Cu2O,90.0,1.3250000000000002,100,600.0,high,2.41,14.21
316,grid_search,Cu2O,90.0,2.5500000000000003,111,200.0,low,1.4,14.21
317,grid_search,Cu2O,90.0,2.5500000000000003,111,200.0,medium,9.88,14.21
318,grid_search,Cu2O,90.0,2.5500000000000003,111,200.0,high,6.98,14.21
319,grid_search,Cu2O,90.0,2.5500000000000003,111,300.0,low,11.77,14.21
320,grid_search,Cu2O,90.0,2.5500000000000003,111,300.0,medium,10.84,14.21
321,grid_search,Cu2O,90.0,2.5500000000000003,111,300.0,high,4.65,14.21
322,grid_search,Cu2O,90.0,2.5500000000000003,111,400.0,low,4.76,14.21
323,grid_search,Cu2O,90.0,2.5500000000000003,111,400.0,medium,5.32,14.21
324,grid_search,Cu2O,90.0,2.5500000000000003,111,400.0,high,6.61,14.21
325,grid_search,Cu2O,90.0,2.5500000000000003,111,500.0,low,5.34,14.21
326,grid_search,Cu2O,90.0,2.5500000000000003,111,500.0,medium,4.59,14.21
327,grid_search,Cu2O,90.0,2.5500000000000003,111,500.0,high,9.51,14.21
328,grid_search,Cu2O,90.0,2.5500000000000003,111,600.0,low,7.63,14.21
329,grid_search,Cu2O,90.0,2.5500000000000003,111,600.0,medium,7.36,14.21
330,grid_search,Cu2O,90.0,2.5500000000000003,111,600.0,high,2.47,14.21
331,grid_search,Cu2O,90.0,2.5500000000000003,110,200.0,low,3.02,14.21
332,grid_search,Cu2O,90.0,2.5500000000000003,110,200.0,medium,12.41,14.21
333,grid_search,Cu2O,90.0,2.5500000000000003,110,200.0,high,2.35,14.21
334,grid_search,Cu2O,90.0,2.5500000000000003,110,300.0,low,5.15,14.21
335,grid_search,Cu2O,90.0,2.5500000000000003,110,300.0,medium,3.04,14.21
336,grid_search,Cu2O,90.0,2.5500000000000003,110,300.0,high,4.89,14.21
337,grid_search,Cu2O,90.0,2.5500000000000003,110,400.0,low,6.58,14.21
338,grid_search,Cu2O,90.0,2.5500000000000003,110,400.0,medium,2.85,14.21
339,grid_search,Cu2O,90.0,2.5500000000000003,110,400.0,high,6.23,14.21
340,grid_search,Cu2O,90.0,2.5500000000000003,110,500.0,low,4.68,14.21
341,grid_search,Cu2O,90.0,2.5500000000000003,110,500.0,medium,1.76,14.21
342,grid_search,Cu2O,90.0,2.5500000000000003,110,500.0,high,8.52,14.21
