method,seed,iteration,activity,best_so_far,regret
bayesian_optimization,3,20,71.44,73.83,23.17
bayesian_optimization,3,21,59.34,73.83,23.17
bayesian_optimization,3,22,50.2,73.83,23.17
bayesian_optimization,3,23,83.15,83.15,13.85
bayesian_optimization,3,24,66.71,83.15,13.85
bayesian_optimization,3,25,63.91,83.15,13.85
bayesian_optimization,3,26,84.26,84.26,12.74
bayesian_optimization,3,27,85.32,85.32,11.68
bayesian_optimization,3,28,80.21,85.32,11.68
bayesian_optimization,3,29,89.0,89.0,8.0
bayesian_optimization,3,30,93.95,93.95,3.05
bayesian_optimization,3,31,79.83,93.95,3.05
bayesian_optimization,3,32,88.6,93.95,3.05
bayesian_optimization,3,33,85.97,93.95,3.05
bayesian_optimization,3,34,87.18,93.95,3.05
bayesian_optimization,3,35,32.01,93.95,3.05
bayesian_optimization,3,36,22.24,93.95,3.05
bayesian_optimization,3,37,23.35,93.95,3.05
bayesian_optimization,3,38,92.71,93.95,3.05
bayesian_optimization,3,39,95.59,95.59,1.41
bayesian_optimization,3,40,73.91,95.59,1.41
bayesian_optimization,3,41,96.66,96.66,0.34
bayesian_optimization,3,42,79.55,96.66,0.34
bayesian_optimization,3,43,86.17,96.66,0.34
bayesian_optimization,3,44,90.14,96.66,0.34
bayesian_optimization,3,45,96.68,96.68,0.32
bayesian_optimization,3,46,83.2,96.68,0.32
bayesian_optimization,3,47,85.76,96.68,0.32
bayesian_optimization,3,48,88.77,96.68,0.32
bayesian_optimization,3,49,92.61,96.68,0.32
bayesian_optimization,3,50,94.9,96.68,0.32
random_search,4,1,10.55,10.55,86.45
random_search,4,2,23.52,23.52,73.48
random_search,4,3,1.58,23.52,73.48
random_search,4,4,28.65,28.65,68.35
random_search,4,5,36.79,36.79,60.21
random_search,4,6,14.43,36.79,60.21
random_search,4,7,34.36,36.79,60.21
random_search,4,8,48.88,48.88,48.12
random_search,4,9,27.15,48.88,48.12
random_search,4,10,44.38,48.88,48.12
random_search,4,11,1.23,48.88,48.12
random_search,4,12,26.51,48.88,48.12
random_search,4,13,27.8,48.88,48.12
random_search,4,14,42.67,48.88,48.12
random_search,4,15,15.73,48.88,48.12
random_search,4,16,35.5,48.88,48.12
random_search,4,17,17.84,48.88,48.12
random_search,4,18,3.78,48.88,48.12
random_search,4,19,14.01,48.88,48.12
random_search,4,20,22.67,48.88,48.12
random_search,4,21,11.5,48.88,48.12
random_search,4,22,10.21,48.88,48.12
random_search,4,23,3.11,48.88,48.12
random_search,4,24,26.72,48.88,48.12
random_search,4,25,39.51,48.88,48.12
random_search,4,26,51.36,51.36,45.64
random_search,4,27,23.7,51.36,45.64
random_search,4,28,30.32,51.36,45.64
random_search,4,29,17.51,51.36,45.64
random_search,4,30,27.98,51.36,45.64
random_search,4,31,10.72,51.36,45.64
random_search,4,32,15.16,51.36,45.64
random_search,4,33,3.7,51.36,45.64
random_search,4,34,43.7,51.36,45.64
random_search,4,35,33.46,51.36,45.64
random_search,4,36,40.42,51.36,45.64
random_search,4,37,7.34,51.36,45.64
random_search,4,38,44.23,51.36,45.64
random_search,4,39,52.16,52.16,44.84
random_search,4,40,35.13,52.16,44.84
random_search,4,41,57.82,57.82,39.18
random_search,4,42,14.76,57.82,39.18
random_search,4,43,10.86,57.82,39.18
random_search,4,44,24.67,57.82,39.18
random_search,4,45,14.44,57.82,39.18
random_search,4,46,19.15,57.82,39.18
random_search,4,47,1.0,57.82,39.18
random_search,4,48,7.91,57.82,39.18
random_search,4,49,37.29,57.82,39.18
random_search,4,50,20.3,57.82,39.18
bayesian_optimization,4,1,31.26,31.26,65.74
bayesian_optimization,4,2,8.49,31.26,65.74
bayesian_optimization,4,3,33.87,33.87,63.13
bayesian_optimization,4,4,11.12,33.87,63.13
bayesian_optimization,4,5,37.28,37.28,59.72
bayesian_optimization,4,6,40.96,40.96,56.04
bayesian_optimization,4,7,5.77,40.96,56.04
bayesian_optimization,4,8,1.0,40.96,56.04
bayesian_optimization,4,9,32.75,40.96,56.04
bayesian_optimization,4,10,2.29,40.96,56.04
bayesian_optimization,4,11,24.03,40.96,56.04
bayesian_optimization,4,12,28.88,40.96,56.04
bayesian_optimization,4,13,27.33,40.96,56.04
bayesian_optimization,4,14,19.55,40.96,56.04
bayesian_optimization,4,15,61.65,61.65,35.35
bayesian_optimization,4,16,46.73,61.65,35.35
bayesian_optimization,4,17,35.99,61.65,35.35
bayesian_optimization,4,18,55.06,61.65,35.35
bayesian_optimization,4,19,45.24,61.65,35.35
bayesian_optimization,4,20,1.0,61.65,35.35
bayesian_optimization,4,21,13.86,61.65,35.35
bayesian_optimization,4,22,25.15,61.65,35.35
bayesian_optimization,4,23,44.81,61.65,35.35
bayesian_optimization,4,24,19.15,61.65,35.35
bayesian_optimization,4,25,90.1,90.1,6.9
bayesian_optimization,4,26,83.29,90.1,6.9
bayesian_optimization,4,27,74.1,90.1,6.9
bayesian_optimization,4,28,83.18,90.1,6.9
bayesian_optimization,4,29,72.09,90.1,6.9
bayesian_optimization,4,30,84.02,90.1,6.9
bayesian_optimization,4,31,86.87,90.1,6.9
bayesian_optimization,4,32,87.37,90.1,6.9
